iter	RMSE
0	14.53867225
1	14.10897893
2	13.63714331
3	13.20431305
4	12.82809491
5	12.4771186
6	12.11807366
7	11.78386607
8	11.44732521
9	11.11431051
10	10.83006828
11	10.52995306
12	10.27013125
13	10.01665732
14	9.764617027
15	9.534515512
16	9.316997283
17	9.100325035
18	8.88760238
19	8.681113715
20	8.49326332
21	8.323962683
22	8.141158105
23	7.9879774
24	7.841502618
25	7.683229474
26	7.544598303
27	7.41174181
28	7.2853234
29	7.180984169
30	7.063490103
31	6.953575088
32	6.852980141
33	6.773896171
34	6.684013755
35	6.593824525
36	6.519308227
37	6.444841255
38	6.364417446
39	6.299736861
40	6.227474448
41	6.166973788
42	6.105129567
43	6.044776445
44	5.98789923
45	5.93705109
46	5.883662442
47	5.833859799
48	5.785133358
49	5.742048727
50	5.707158179
51	5.66419556
52	5.624810946
53	5.59023988
54	5.554354726
55	5.522794985
56	5.490980971
57	5.460813023
58	5.435830717
59	5.40781387
60	5.380330516
61	5.361656935
62	5.333370795
63	5.310928709
64	5.291533313
65	5.268023439
66	5.247061791
67	5.221895362
68	5.201103894
69	5.181132333
70	5.167209818
71	5.156700592
72	5.143000136
73	5.123875105
74	5.107102211
75	5.088236153
76	5.07696038
77	5.059420772
78	5.044663439
79	5.034331109
80	5.022379662
81	5.006398181
82	4.98745025
83	4.978030543
84	4.968841194
85	4.95391665
86	4.941458054
87	4.925203976
88	4.91714823
89	4.901671635
90	4.894881364
91	4.883116475
92	4.872872464
93	4.866618861
94	4.850654125
95	4.839903099
96	4.830527716
97	4.822498989
98	4.81968811
99	4.805321456
