iter	Passed	Remaining
0	143	14195
1	145	7136
2	148	4786
3	150	3602
4	152	2891
5	154	2419
6	156	2073
7	158	1820
8	160	1626
9	163	1469
10	164	1330
11	166	1222
12	168	1130
13	169	1044
14	172	976
15	174	918
16	177	865
17	179	818
18	181	774
19	183	735
20	186	701
21	188	669
22	190	639
23	193	611
24	195	586
25	197	562
26	199	540
27	202	519
28	204	500
29	206	482
30	208	463
31	210	447
32	212	431
33	215	417
34	217	404
35	220	391
36	222	378
37	224	366
38	227	355
39	229	344
40	231	333
41	234	323
42	236	313
43	239	304
44	241	294
45	243	285
46	245	277
47	248	269
48	250	261
49	253	253
50	255	245
51	257	238
52	260	230
53	262	223
54	264	216
55	267	210
56	269	203
57	271	196
58	274	190
59	276	184
60	278	177
61	280	171
62	282	166
63	284	159
64	285	153
65	288	148
66	289	142
67	292	137
68	294	132
69	297	127
70	298	121
71	299	116
72	301	111
73	304	106
74	306	102
75	309	97
76	311	93
77	314	88
78	316	84
79	319	79
80	321	75
81	323	71
82	326	66
83	328	62
84	330	58
85	333	54
86	336	50
87	338	46
88	340	42
89	343	38
90	344	34
91	346	30
92	348	26
93	351	22
94	354	18
95	357	14
96	359	11
97	362	7
98	363	3
99	365	0
