iter	Passed	Remaining
0	147	147608
1	148	74000
2	148	49457
3	149	37174
4	149	29813
5	150	24902
6	150	21394
7	151	18762
8	151	16714
9	152	15075
10	152	13734
11	153	12618
12	153	11674
13	154	10867
14	154	10165
15	155	9550
16	155	9009
17	156	8531
18	156	8098
19	157	7709
20	157	7357
21	158	7037
22	158	6744
23	159	6479
24	159	6234
25	160	6006
26	160	5795
27	161	5600
28	161	5417
29	162	5248
30	162	5091
31	163	4944
32	163	4803
33	164	4672
34	164	4548
35	165	4431
36	165	4319
37	166	4222
38	167	4122
39	167	4026
40	168	3937
41	168	3851
42	169	3769
43	169	3690
44	170	3614
45	170	3542
46	171	3474
47	171	3409
48	172	3352
49	173	3293
50	173	3237
51	174	3181
52	174	3126
53	175	3074
54	175	3023
55	176	2975
56	177	2928
57	177	2883
58	178	2840
59	178	2797
60	179	2756
61	179	2716
62	180	2680
63	180	2644
64	181	2607
65	181	2572
66	182	2538
67	182	2505
68	183	2473
69	183	2441
70	184	2411
71	184	2382
72	185	2353
73	185	2325
74	186	2298
75	186	2272
76	187	2246
77	187	2221
78	188	2197
79	188	2173
80	189	2149
81	190	2127
82	190	2102
83	190	2080
84	191	2060
85	191	2039
86	192	2018
87	192	1998
88	193	1979
89	193	1959
90	194	1941
91	194	1922
92	195	1904
93	195	1887
94	196	1870
95	196	1853
96	197	1836
97	197	1820
98	198	1804
99	198	1788
100	199	1773
101	199	1758
102	200	1743
103	200	1728
104	201	1714
105	201	1700
106	202	1686
107	202	1673
108	203	1660
109	203	1647
110	204	1634
111	204	1621
112	205	1609
113	205	1597
114	206	1585
115	206	1573
116	206	1561
117	207	1550
118	207	1538
119	208	1527
120	208	1517
121	209	1505
122	209	1495
123	210	1484
124	210	1474
125	211	1464
126	211	1454
127	212	1444
128	212	1434
129	212	1425
130	213	1415
131	213	1406
132	214	1397
133	214	1388
134	215	1380
135	215	1371
136	216	1362
137	216	1354
138	217	1346
139	217	1337
140	218	1329
141	218	1320
142	219	1313
143	219	1305
144	220	1297
145	220	1289
146	220	1282
147	221	1274
148	221	1267
149	222	1260
150	222	1253
151	223	1246
152	223	1239
153	224	1232
154	224	1225
155	225	1219
156	225	1212
157	226	1205
158	226	1199
159	227	1193
160	227	1186
161	228	1179
162	228	1173
163	229	1167
164	229	1161
165	230	1155
166	230	1150
167	231	1144
168	231	1138
169	232	1132
170	232	1127
171	233	1121
172	233	1116
173	234	1110
174	234	1105
175	234	1100
176	235	1094
177	235	1089
178	236	1084
179	236	1079
180	237	1074
181	237	1069
182	238	1063
183	238	1058
184	239	1053
185	239	1049
186	240	1044
187	240	1039
188	241	1034
189	241	1030
190	242	1025
191	242	1021
192	243	1016
193	243	1012
194	244	1007
195	244	1003
196	245	999
197	245	994
198	246	990
199	246	986
200	247	981
201	247	977
202	247	973
203	248	969
204	248	965
205	249	961
206	249	957
207	250	953
208	250	949
209	251	945
210	251	941
211	252	937
212	252	933
213	253	930
214	253	926
215	254	922
216	254	918
217	255	915
218	255	911
219	256	907
220	256	904
221	256	900
222	257	897
223	258	893
224	258	890
225	258	886
226	259	883
227	259	880
228	260	877
229	261	873
230	261	870
231	262	867
232	262	864
233	263	860
234	263	857
235	263	854
236	264	851
237	264	848
238	265	845
239	266	842
240	266	839
241	267	836
242	267	833
243	268	830
244	268	827
245	269	824
246	269	821
247	270	818
248	270	815
249	271	813
250	271	810
251	272	807
252	272	804
253	273	802
254	273	799
255	274	796
256	274	793
257	275	791
258	275	788
259	276	785
260	276	783
261	277	780
262	277	778
263	278	775
264	278	772
265	279	770
266	279	767
267	280	765
268	280	762
269	281	760
270	281	757
271	282	755
272	282	752
273	283	750
274	283	748
275	284	745
276	284	743
277	285	741
278	285	738
279	286	736
280	286	734
281	287	731
282	287	729
283	288	727
284	288	724
285	289	722
286	289	720
287	290	718
288	291	715
289	291	713
290	292	711
291	292	709
292	293	707
293	293	705
294	294	702
295	294	700
296	295	698
297	295	696
298	296	694
299	296	692
300	297	690
301	297	688
302	298	686
303	298	683
304	299	681
305	299	679
306	300	677
307	300	676
308	301	674
309	302	672
310	302	670
311	303	668
312	303	666
313	304	664
314	304	662
315	305	660
316	305	658
317	306	656
318	306	654
319	307	652
320	307	650
321	308	648
322	308	646
323	309	645
324	309	643
325	310	641
326	310	639
327	311	637
328	311	635
329	312	633
330	312	631
331	313	630
332	313	628
333	314	626
334	314	624
335	315	622
336	315	621
337	316	619
338	316	617
339	317	615
340	317	613
341	318	612
342	318	610
343	319	608
344	319	606
345	320	605
346	320	603
347	321	601
348	321	599
349	322	598
350	322	596
351	323	594
352	323	593
353	324	591
354	324	589
355	325	588
356	325	586
357	326	584
358	326	583
359	327	581
360	327	580
361	328	578
362	328	577
363	329	575
364	330	574
365	330	572
366	331	571
367	331	569
368	332	567
369	332	566
370	333	564
371	333	563
372	334	561
373	334	560
374	335	558
375	335	557
376	336	555
377	336	554
378	337	552
379	337	551
380	338	549
381	338	548
382	339	546
383	339	545
384	340	543
385	340	542
386	341	540
387	341	538
388	342	537
389	342	536
390	343	534
391	343	533
392	344	531
393	344	530
394	345	528
395	345	527
396	346	526
397	346	524
398	347	523
399	347	521
400	348	520
401	348	518
402	349	517
403	349	516
404	350	514
405	350	513
406	351	511
407	351	510
408	352	508
409	352	507
410	353	506
411	353	504
412	354	503
413	354	502
414	355	500
